learning_rate,n_estimators,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
0.01,200,0.898,0.6164383561643836,0.8823529411764706,0.7258064516129032,0.9569491708529142,763,84,18,135
0.01,400,0.917,0.6732673267326733,0.8888888888888888,0.7661971830985915,0.9637551990493166,781,66,17,136
0.01,800,0.943,0.7823529411764706,0.869281045751634,0.8235294117647058,0.9679607380142139,810,37,20,133
0.05,200,0.949,0.8035714285714286,0.8823529411764706,0.8411214953271028,0.964349376114082,814,33,18,135
0.05,400,0.956,0.8758620689655172,0.8300653594771242,0.8523489932885906,0.9658078107275968,829,18,26,127
0.05,800,0.958,0.8992805755395683,0.8169934640522876,0.8561643835616438,0.9641564614826648,833,14,28,125
0.1,200,0.95,0.8456375838926175,0.8235294117647058,0.8344370860927153,0.9654296980500189,824,23,27,126
0.1,400,0.959,0.9057971014492754,0.8169934640522876,0.8591065292096219,0.9653679653679654,834,13,28,125
0.1,800,0.958,0.9051094890510949,0.8104575163398693,0.8551724137931035,0.9630607063762144,834,13,29,124
0.2,200,0.956,0.8978102189781022,0.803921568627451,0.8482758620689655,0.9645654405012694,833,14,30,123
0.2,400,0.957,0.9104477611940298,0.7973856209150327,0.8501742160278746,0.962968107353134,835,12,31,122
0.2,800,0.954,0.8905109489051095,0.7973856209150327,0.8413793103448276,0.9622041654127216,832,15,31,122
