max_depth,min_child_weight,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
3,1,0.931,0.7333333333333333,0.8627450980392157,0.7927927927927928,0.9638632312429103,799,48,21,132
3,3,0.932,0.7348066298342542,0.869281045751634,0.7964071856287425,0.9645114244044726,799,48,20,133
3,5,0.931,0.7307692307692307,0.869281045751634,0.7940298507462686,0.9623044810210585,798,49,20,133
5,1,0.953,0.863013698630137,0.8235294117647058,0.842809364548495,0.9661936399904315,827,20,27,126
5,3,0.953,0.8581081081081081,0.8300653594771242,0.8438538205980066,0.967571050458751,826,21,26,127
5,5,0.953,0.8581081081081081,0.8300653594771242,0.8438538205980066,0.9660856077968378,826,21,26,127
7,1,0.959,0.9057971014492754,0.8169934640522876,0.8591065292096219,0.969488621895039,834,13,28,125
7,3,0.955,0.8802816901408451,0.8169934640522876,0.847457627118644,0.9678527058206203,830,17,28,125
7,5,0.956,0.8811188811188811,0.8235294117647058,0.8513513513513513,0.9687323965398832,830,17,27,126
9,1,0.958,0.9051094890510949,0.8104575163398693,0.8551724137931035,0.9679838877699841,834,13,29,124
9,3,0.956,0.8865248226950354,0.8169934640522876,0.8503401360544217,0.9691722418995146,831,16,28,125
9,5,0.956,0.8865248226950354,0.8169934640522876,0.8503401360544217,0.9692031082405413,831,16,28,125
